username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
verify_edit_v4,1,A,2026-08-12T13:17:15.655314,1.0,3.0,30.0,58.0,12.0,10.0,3.0,6.0,5.0,9.0
verify_edit_v4,2,A,2026-08-12T13:17:16.238936,3.0,3.0,49.0,33.0,9.0,5.0,6.0,8.0,8.0,7.0
verify_edit_v4,3,A,2026-08-12T13:17:16.819584,0.0,1.0,35.0,30.0,11.0,7.0,3.0,10.0,4.0,4.0
verify_edit_v4,4,A,2026-08-12T13:17:17.404630,4.0,2.0,55.0,38.0,2.0,9.0,5.0,10.0,5.0,7.0
verify_edit_v4,5,A,2026-08-12T13:17:17.986956,2.0,4.0,48.0,34.0,4.0,6.0,3.0,3.0,6.0,9.0
verify_edit_v4,6,A,2026-08-12T13:17:18.571451,2.0,4.0,28.0,35.0,6.0,10.0,7.0,8.0,6.0,8.0
verify_edit_v4,7,A,2026-08-12T13:17:19.154788,3.0,1.0,64.0,67.0,9.0,1.0,3.0,9.0,7.0,4.0
verify_edit_v4,8,A,2026-08-12T13:17:19.736993,3.0,1.0,57.0,50.0,2.0,12.0,5.0,6.0,8.0,4.0
verify_edit_v4,9,A,2026-08-12T13:17:20.321234,1.0,0.0,51.0,53.0,3.0,12.0,8.0,10.0,5.0,6.0
verify_edit_v4,10,A,2026-08-12T13:17:20.903330,4.0,2.0,62.0,28.0,7.0,12.0,9.0,9.0,7.0,5.0
verify_edit_v4,11,A,2026-08-12T13:17:21.488025,1.0,4.0,31.0,29.0,5.0,11.0,8.0,7.0,5.0,4.0
verify_edit_v4,12,A,2026-08-12T13:17:22.071641,1.0,4.0,37.0,59.0,7.0,4.0,5.0,6.0,8.0,6.0
verify_edit_v4,13,A,2026-08-12T13:17:22.654840,3.0,4.0,26.0,37.0,7.0,1.0,6.0,7.0,7.0,9.0
verify_edit_v4,14,A,2026-08-12T13:17:23.237995,0.0,2.0,52.0,61.0,11.0,2.0,6.0,6.0,8.0,8.0
verify_edit_v4,15,A,2026-08-12T13:17:23.820055,4.0,4.0,51.0,55.0,12.0,8.0,10.0,6.0,7.0,4.0
verify_edit_v4,16,A,2026-08-12T13:17:24.404908,1.0,0.0,35.0,53.0,9.0,11.0,5.0,5.0,4.0,9.0
verify_edit_v4,17,A,2026-08-12T13:17:24.989300,0.0,4.0,64.0,58.0,11.0,1.0,4.0,8.0,4.0,6.0
verify_edit_v4,18,A,2026-08-12T13:17:25.572075,4.0,3.0,42.0,27.0,3.0,8.0,7.0,7.0,8.0,7.0
verify_edit_v4,19,A,2026-08-12T13:17:26.155105,4.0,3.0,48.0,30.0,8.0,5.0,10.0,6.0,6.0,7.0
verify_edit_v4,20,A,2026-08-12T13:17:26.736302,4.0,1.0,52.0,58.0,12.0,8.0,5.0,4.0,8.0,9.0
